school_name,school_type,grades_served,email,address,city,state,zip_code,longitude,Latitude,phone,website
"Smalley, James E & A Rae ES",Public,Pre-K - 5,FORDHG@NV.CCSD.NET,304 E Paradise Hills Dr,Henderson,NV,89002,35.991972,-114.975203,(702)799-8090,
"Perkins, Dr Claude G ES",Public,Pre-K - 5,MECHERJ@NV.CCSD.NET,3700 Shadow Tree St,N  Las Vegas,NV,89032,36.226858,-115.145685,(702)799-1805,
"Dickens, D L Dusty ES",Public,Pre-K - 5,BENDEJC@NV.CCSD.NET,5550 Milan Peak St,N  Las Vegas,NV,89081,36.26088,-115.090403,(702)799-3878,
"Bailey, Sister Robert Joseph ES",Public,Pre-K - 5,GRANTJ@NV.CCSD.NET,4525 Jimmy Durante Blvd,Las Vegas,NV,89122,36.107204,-115.051954,(702)799-7510,
"Roundy, Dr C Owen ES",Public,Pre-K - 5,YEEAE@NV.CCSD.NET,2755 Mohawk St,Las Vegas,NV,89146,36.140071,-115.215791,(702)799-5890,
"Forbuss, Robert L ES",Public,Pre-K - 5,VASQUCM@NV.CCSD.NET,8601 S Grand Canyon Dr,Las Vegas,NV,89178,36.031195,-115.308794,(702)799-6840,
"Steele, Judith D ES",Public,Pre-K - 5,MENGJA@NV.CCSD.NET,6995 W Eldorado Ln,Las Vegas,NV,89113,36.051449,-115.245682,(702)799-2201,
"Schorr, Steve ES",Public,Pre-K - 5,WILLISL4@NV.CCSD.NET,11420 Placid Street,Las Vegas,NV,89183,35.983276,-115.159345,(702)799-1380,
"Ward, Kitty McDonough ES",Public,Pre-K - 5,FONTEHR@NV.CCSD.NET,5555 Horse Drive,Las Vegas,NV,89183,36.311862,-115.217664,(702)799-4501,
Blue Diamond ES,Public,Pre-K - 5,VASQUCM@NV.CCSD.NET,6 Diamond St,Blue Diamond,NV,89004,36.04754,-115.405773,(702)875-4226,
Goodsprings ES,Public,Pre-K - 5,REYNOTJ@NV.CCSD.NET,385 W San Pedro Ave,Goodsprings,NV,89019,35.831538,-115.435598,(702)874-1378,
"Lundy, Earl B ES",Public,Pre-K - 5,WELCHCJ@NV.CCSD.NET,4405 Yellow Pine Ave,Mt  Charleston,NV,89124,36.258871,-115.640522,(702)872-5438,
"Reid, Harry ES",Public,Pre-K - 5,ECHEVTD@NV.CCSD.NET,300 Michael Wendell Way,Searchlight,NV,89046,35.468689,-114.90671,(702)297-1224,
"King Jr , Martin Luther ES",Public,Pre-K - 5,TAYLODH@NV.CCSD.NET,2260 Betty Ln,Las Vegas,NV,89156,36.201138,-115.056914,(702)799-7390,https://www.mlkchampions.org
"Deskin, Ruthe ES",Public,Pre-K - 5,robbija@nv.ccsd.net,4550 N Pioneer Way,Las Vegas,NV,89129,36.243532,-115.255078,(702)799-4600,
"Kim, Frank ES",Public,Pre-K - 5,FAWCEK@NV.CCSD.NET,7600 Peace Way,Las Vegas,NV,89147,36.105875,-115.255347,(702)799-5990,
"Beatty, John R ES",Public,Pre-K - 5,WARDJD@NV.CCSD.NET,8685 Hidden Palms Pkwy,Las Vegas,NV,89123,36.031719,-115.151793,(702)799-5700,
"Christensen, M J ES",Public,Pre-K - 5,COLLIKD@NV.CCSD.NET,9001 Mariner Cove Dr,Las Vegas,NV,89117,36.136313,-115.293794,(702)799-4390,
"Parson, Claude & Stella ES",Public,Pre-K - 5,MARLOCM@NV.CCSD.NET,4100 Thom Blvd,Las Vegas,NV,89130,36.234176,-115.211279,(702)799-4530,
"Dooley, John ES",Public,Pre-K - 5,HILLAM@NV.CCSD.NET,1940 Chickasaw Dr,Henderson,NV,89002,36.007972,-114.935647,(702)799-8060,
"Mendoza, John F ES",Public,Pre-K - 5,CHRISRD@NV.CCSD.NET,2000 S Sloan Ln,Las Vegas,NV,89142,36.14968,-115.046256,(702)799-8680,http://www.mendozaelementary.org
"McMillan, James B ES",Public,Pre-K - 5,LONGMNJ@NV.CCSD.NET,7000 Walt Lott Dr,Las Vegas,NV,89128,36.193554,-115.248011,(702)799-4350,
"Perkins, Ute ES",Public,Pre-K - 5,ROBISKR@NV.CCSD.NET,1255 Patriots Way,Moapa,NV,89025,36.672762,-114.592184,(702)864-2444,
"Lynch, Ann ES",Public,Pre-K - 5,MILLEAE2@NV.CCSD.NET,4850 Kell Ln,Las Vegas,NV,89115,36.193102,-115.067636,(702)799-8820,
"Woolley, Gwendolyn ES",Public,Pre-K - 5,COOLMA@NV.CCSD.NET,3955 Timberlake Dr,Las Vegas,NV,89115,36.23147,-115.094216,(702)799-4970,
"Lunt, Robert ES",Public,Pre-K - 5,DRAKULJ@NV.CCSD.NET,2701 Harris St,Las Vegas,NV,89101,36.178189,-115.113206,(702)799-8360,
"Eisenberg, Dorothy ES",Public,Pre-K - 5,BOURGSA@NV.CCSD.NET,7770 Delhi Ave,Las Vegas,NV,89129,36.224686,-115.264278,(702)799-4680,
"Fong, Wing and Lilly ES",Public,Pre-K - 5,GLEASSN@NV.CCSD.NET,2200 James Bilbray Dr,Las Vegas,NV,89108,36.200867,-115.236749,(702)799-4890,
"Gibson, James ES",Public,Pre-K - 5,KEITHJ@NV.CCSD.NET,271 Leisure Cir,Henderson,NV,89074,36.047047,-115.073894,(702)799-8730,
"Wynn, Elaine ES",Public,Pre-K - 5,NEWMAME@NV.CCSD.NET,5655 Edna Ave,Las Vegas,NV,89146,36.13604,-115.219575,(702)799-8160,
"Hill, Charlotte ES",Public,Pre-K - 5,REYNOJL@NV.CCSD.NET,560 E Eldorado Ln,Las Vegas,NV,89123,36.054061,-115.151279,(702)799-5720,
"Jacobson, Walter ES",Public,Pre-K - 5,MCKINDA1@NV.CCSD.NET,8400 Boseck Dr,Las Vegas,NV,89145,36.163304,-115.273923,(702)799-4320,
"Derfelt, Herbert A ES",Public,Pre-K - 5,HUCKIDL@NV.CCSD.NET,1900 S Lisa Ln,Las Vegas,NV,89117,36.150987,-115.276909,(702)799-4370,
"Cunningham, Cynthia ES",Public,Pre-K - 5,MINORBA@NV.CCSD.NET,4145 Jimmy Durante,Las Vegas,NV,89122,36.113713,-115.052282,(702)799-8780,
"Cox, David M ES",Public,Pre-K - 5,IMBODTR@NV.CCSD.NET,280 Clark Dr,Henderson,NV,89074,36.049002,-115.104392,(702)799-5730,
"Treem, Harriet ES",Public,Pre-K - 5,VANDOSJ@NV.CCSD.NET,1698 Patrick Ln,Henderson,NV,89014,36.078958,-115.057384,(702)799-8760,https://treembears.org
"Rundle, Richard ES",Public,Pre-K - 5,REECEL@NV.CCSD.NET,425 N Christy Ln,Las Vegas,NV,89110,36.167922,-115.054024,(702)799-7380,
"Herr, Helen ES",Public,Pre-K - 5,gabredr@nv.ccsd.net,6475 Eagle Creek Ln,Las Vegas,NV,89156,36.201113,-115.031518,(702)799-8860,
"Dailey, Jack ES",Public,Pre-K - 5,truppcl@nv.ccsd.net,2001 E Reno Ave,Las Vegas,NV,89119,36.09611,-115.125104,(702)799-5690,http://schools.ccsd.net/dailey/
"Adams, Kirk ES",Public,Pre-K - 5,BREDSLN@NV.CCSD.NET,580 N Fogg St,Las Vegas,NV,89110,36.170088,-115.033898,(702)799-8800,
"May, Ernest ES",Public,Pre-K - 5,LEATHBK@NV.CCSD.NET,6350 W Washburn Rd,Las Vegas,NV,89130,36.255214,-115.232626,(702)799-4690,
"Kahre, Marc ES",Public,Pre-K - 5,MCGLOSK@NV.CCSD.NET,7887 W Gowan Rd,Las Vegas,NV,89129,36.225072,-115.266466,(702)799-4660,
"Katz, Edythe & Lloyd ES",Public,Pre-K - 5,DIPAORR@NV.CCSD.NET,1800 Rock Springs Dr,Las Vegas,NV,89128,36.19144,-115.247758,(702)799-4330,
"Jydstrup, Helen ES",Public,Pre-K - 5,MIANICM@NV.CCSD.NET,5150 Duneville St,Las Vegas,NV,89118,36.096183,-115.220345,(702)799-8140,
"King, Martha P ES",Public,3-5,SCHROJW@NV.CCSD.NET,888 Adams Blvd,Boulder City,NV,89005,35.969091,-114.827343,(702)799-8260,
"Bartlett, Selma F ES",Public,Pre-K - 5,CHRISBC@NV.CCSD.NET,1961 Wigwam Pkwy,Henderson,NV,89074,36.027675,-115.070984,(702)799-5750,
"Bendorf, Patricia A ES",Public,Pre-K - 5,GILLAKM@NV.CCSD.NET,3550 S Kevin Way,Las Vegas,NV,89147,36.125309,-115.289338,(702)799-4440,
"Thorpe, Jim ES",Public,Pre-K - 5,DAVISAR@NV.CCSD.NET,1650 Patrick Ln,Henderson,NV,89014,36.079353,-115.055735,(702)799-0740,
"Antonello, Lee ES",Public,Pre-K - 5,ROZEKK@NV.CCSD.NET,1101 W Tropical Pkwy,N  Las Vegas,NV,89031,36.268387,-115.157719,(702)799-8380,
"Lummis, William ES",Public,Pre-K - 5,MARTIGL@NV.CCSD.NET,9000 Hillpointe Rd,Las Vegas,NV,89134,36.199619,-115.290333,(702)799-4380,
"Wiener, Jr , Louis ES",Public,Pre-K - 5,HOLNBDM@NV.CCSD.NET,450 E Eldorado Ln,Las Vegas,NV,89123,36.053944,-115.153242,(702)799-5760,
"Fitzgerald, H P ES",Public,Pre-K - 5,WATSOFE@NV.CCSD.NET,2651 N Revere St,N  Las Vegas,NV,89030,36.20774,-115.152942,(702)799-0600,
"Lowman, Mary & Zel ES",Public,Pre-K - 5,TATMASA@NV.CCSD.NET,4225 N Lamont St,Las Vegas,NV,89115,36.237631,-115.0668,(702)799-4930,
Piggott Academy ES,Public,Pre-K - 5,HUDZIDC@NV.CCSD.NET,9601 Red Hills Rd,Las Vegas,NV,89117,36.153343,-115.304905,(702)799-4450,
"Newton, Ulis ES",Public,Pre-K - 5,MCGOWME@NV.CCSD.NET,571 Greenway Rd,Henderson,NV,89015,36.014412,-114.975562,(702)799-0500,
"Bruner, Lucile ES",Public,Pre-K - 5,RAMIRML@NV.CCSD.NET,4289 Allen Ln,N  Las Vegas,NV,89032,36.236536,-115.190206,(702)799-0620,
"Bryan, Richard H ES",Public,Pre-K - 5,MORABE@NV.CCSD.NET,8050 Cielo Vista Ave,Las Vegas,NV,89128,36.194215,-115.268413,(702)799-1460,
"Wilhelm, Elizabeth ES",Public,Pre-K - 5,JONESDL3@NV.CCSD.NET,609 W Alexander Rd,N  Las Vegas,NV,89032,36.231117,-115.148997,(702)799-1750,
"Roberts, Aggie ES",Public,Pre-K - 5,RASAVML@NV.CCSD.NET,227 Charter Oak St,Henderson,NV,89074,36.045837,-115.105954,(702)799-1320,
"Allen, Dean LaMar ES",Public,Pre-K - 5,FRASIJB@NV.CCSD.NET,8680 W Hammer Ln,Las Vegas,NV,89149,36.260069,-115.283291,(702)799-4580,
"Wolfe, Eva ES",Public,Pre-K - 5,FRENCJA@NV.CCSD.NET,4027 W Washburn Rd,N  Las Vegas,NV,89031,36.253329,-115.195017,(702)799-1860,
"Goldfarb, Daniel ES",Public,Pre-K - 5,fernajb@NV.CCSD.NET,1651 Orchard Valley Dr,Las Vegas,NV,89142,36.154681,-115.036951,(702)799-1550,
"Vanderburg, John ES",Public,Pre-K - 5,REEDORC@NV.CCSD.NET,2040 Desert Shadow Trail,Henderson,NV,89012,36.02344,-115.078338,(702)799-0540,
"Cambeiro, Arturo ES",Public,Pre-K - 5,PINEDBL@NV.CCSD.NET,2851 E Harris Ave,Las Vegas,NV,89101,36.177591,-115.110209,(702)799-1700,
"Bryan, Roger M ES",Public,Pre-K - 5,deraslj@nv.ccsd.net,8255 Katie Ave,Las Vegas,NV,89147,36.119514,-115.271039,(702)799-1270,
"Bonner, John W ES",Public,Pre-K - 5,KIRKHDL@NV.CCSD.NET,765 Crestdale Ln,Las Vegas,NV,89144,36.180044,-115.323468,(702)799-6050,
"Cartwright, Roberta C ES",Public,Pre-K - 5,JIMENSJ@NV.CCSD.NET,1050 E Gary Ave,Las Vegas,NV,89123,36.015986,-115.140297,(702)799-1350,
"Bowler, Joseph L ES",Public,Pre-K - 5,JENKICA@NV.CCSD.NET,451 Vincen Leavitt Ave,Bunkerville,NV,89007,36.768611,-114.133316,(702)346-1900,http://schools.ccsd.net/jlbowler
"Rhodes, Betsy ES",Public,Pre-K - 5,ROSENRB@NV.CCSD.NET,7350 Tealwood St,Las Vegas,NV,89131,36.294259,-115.262842,(702)799-3450,
"Guy, Addeliar D III ES",Public,Pre-K - 5,WILLILM3@NV.CCSD.NET,4028 La Madre Way,N  Las Vegas,NV,89031,36.250655,-115.194213,(702)799-3150,
"Morrow, Sue H ES",Public,Pre-K - 5,WITTEJL@NV.CCSD.NET,1070 Featherwood Ave,Henderson,NV,89015,36.020285,-114.942706,(702)799-3550,
"Bunker, Berkeley L ES",Public,Pre-K - 5,YOUNGML@NV.CCSD.NET,6350 Peak Dr,Las Vegas,NV,89108,36.210463,-115.232431,(702)799-3420,
